Gene	TAP0	TAPHL15	TAPHL120	TP0	TP15	TP120	TPHL15	TPHL120
g10974.t1	11.0583	5.89991	19.1226	2.03138	16.1189	13.4587	9.7652	27.1471
g2295.t1	7.97633	4.25486	4.25428	6.06064	9.44324	11.0009	1.92247	6.66441
g2377.t1	5.92562	3.16086	5.56279	1.10763	5.02618	6.30752	1.30815	0
g7850.t1	10.7642	5.74132	6.57354	4.52112	5.31428	12.1042	1.74881	5.83808
g2441.t1	5.52902	2.9485	4.28864	0	5.42425	4.89599	1.78317	0
g1392.t1	27.554	14.6933	22.7009	56.2232	13.5047	28.629	22.8019	15.4547
g5721.t1	20.4207	10.8848	18.053	24.8999	28.7657	13.971	16.0866	12.5154
g3701.t1	17.7936	3.76686	15.587	11.1198	8.24408	18.4453	4.96405	5.23952
g2876.t1	13.984	7.4504	13.892	1.47619	16.604	13.2585	0.244727	5.28712
g5610.t1	7.78343	4.14644	10.516	4.81652	6.34113	8.38432	3.63558	10.4331
g2845.t1	5.752	3.06277	23.3711	2.28484	9.76821	9.08516	7.97435	18.1434
g9418.t1	9.73473	5.18213	28.3038	6.17772	15.1737	10.9025	9.37543	9.01457
g4099.t1	13.4395	7.15394	12.8223	12.3246	10.5584	13.48	16.4657	1.36687
g5841.t1	10.6917	5.6905	10.0435	2.92197	15.3254	11.7838	0.218925	1.50196
g4708.t1	8.88694	4.72962	6.13467	1.33899	9.74633	10.2308	0.538092	1.82758
g5125.t1	9.82403	5.22805	10.8269	4.62283	17.8279	9.65388	0	0.882885
g4769.t1	7.57775	4.03159	8.15719	5.39198	12.3906	12.0257	8.21022	5.75441
g2630.t1	17.8282	9.48262	6.47647	18.8503	2.86785	22.7749	11.3144	12.4687
g1839.t1	7.52175	3.99902	5.77854	0.86914	6.72617	6.63421	0.892942	18.8206
g8313.t1	36.8907	19.6127	7.71606	17.5882	31.5575	25.0103	13.2835	22.5171
g8855.t1	7.52235	3.99766	13.7406	2.03685	6.60839	9.29419	5.09027	8.35738
g4632.t1	27.4503	14.5798	10.3309	15.1443	20.4918	28.5789	6.88391	12.5734
g10915.t1	21.4916	11.4149	18.5384	10.5223	13.6555	12.3199	9.67834	18.2631
